                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5691,                 5.7328,                 1.3855,                0.00167,                      1,                0.14098,                0.10152,                0.58215,                 5.6449,                0.89801,                  4e-05,                  4e-05,                  4e-05
                      2,                0.67495,                 14.317,                0.79809,                0.00167,                      1,                0.60983,                0.45999,                0.69287,                 5.8596,                0.95256,              9.604e-05,              9.604e-05,              9.604e-05
                      3,                  1.378,                 7.5587,                 1.4949,                0.00167,                      1,                0.75958,                0.38993,                 1.4399,                 6.5142,                 1.6252,             0.00014733,             0.00014733,             0.00014733
                      4,                0.99509,                 2.9313,                 1.0187,                0.00167,                      1,                0.63106,                0.33342,                  1.831,                 7.2525,                 1.8059,             0.00019386,             0.00019386,             0.00019386
                      5,                0.82173,                 2.7046,                 1.1187,                0.00167,                      1,                0.60336,                0.38051,                 1.2398,                 7.5938,                 1.2323,             0.00023565,             0.00023565,             0.00023565
                      6,                0.77173,                 2.3805,                0.89075,                0.00167,                      1,                0.59928,                0.51832,                0.77945,                 6.3326,                 1.0533,             0.00027268,             0.00027268,             0.00027268
                      7,                 1.1578,                 2.8329,                 1.1888,                0.00167,                      1,                0.73402,                0.48183,                0.67669,                 5.9298,                0.96604,             0.00030496,             0.00030496,             0.00030496
                      8,                0.81784,                 2.8008,                 1.0486,                0.00167,                      1,                 0.8023,                0.60501,                0.63358,                 5.8664,                0.91684,             0.00033249,             0.00033249,             0.00033249
                      9,                0.90079,                 2.2168,                 1.0147,                0.00167,                      1,                0.80021,                 0.6977,                0.72399,                 5.8461,                0.97373,             0.00035526,             0.00035526,             0.00035526
                     10,                  0.873,                  4.714,                 0.8774,                0.00167,                      1,                0.79988,                0.68174,                0.71531,                 5.9299,                 1.0108,             0.00037329,             0.00037329,             0.00037329
                     11,                  1.188,                 3.9639,                 1.2371,                0.00167,                      1,                0.83667,                0.68277,                0.69427,                 5.6038,                0.97853,             0.00038656,             0.00038656,             0.00038656
                     12,                0.81408,                 3.6103,                0.91896,                0.00167,                      1,                0.93786,                0.70472,                0.71598,                 5.7487,                0.92708,             0.00039508,             0.00039508,             0.00039508
                     13,                 0.7746,                 2.2325,                0.99882,                0.00167,                      1,                0.96167,                0.72422,                0.80488,                 5.7108,                0.96917,             0.00039885,             0.00039885,             0.00039885
                     14,                 1.0734,                 3.0266,                 1.0909,                0.00167,                      1,                0.96167,                0.70696,                0.77021,                 5.8462,                0.97266,             0.00039786,             0.00039786,             0.00039786
                     15,                 0.7262,                 1.9342,                 1.0991,                0.91738,                    0.8,                0.96167,                0.66415,                0.89639,                 5.5608,                 1.0067,             0.00039213,             0.00039213,             0.00039213
                     16,                0.70497,                 3.5084,                0.91662,                0.62242,                      1,                0.93786,                0.72826,                0.90838,                 5.5029,                 1.0855,             0.00038164,             0.00038164,             0.00038164
                     17,                0.63878,                 3.7863,                0.97066,                0.00167,                      1,                0.86643,                0.45796,                 1.4588,                 6.8434,                  1.347,              0.0003664,              0.0003664,              0.0003664
                     18,                0.75327,                 3.6789,                0.89731,                0.00167,                      1,                0.88591,                0.51845,                 1.2185,                 6.2016,                  1.106,             0.00034641,             0.00034641,             0.00034641
                     19,                0.94948,                 3.4563,                 1.1702,                0.83621,                    0.8,                0.93786,                0.76113,                0.68838,                 5.7244,                0.87484,             0.00032166,             0.00032166,             0.00032166
                     20,                0.47405,                 12.927,                0.69636,                      1,                0.67026,                  0.995,                0.84553,                0.56843,                 5.4155,                0.82443,             0.00029217,             0.00029217,             0.00029217
                     21,                0.70239,                 3.8361,                0.92898,                      1,                0.73979,                  0.995,                0.84553,                0.54621,                 5.4575,                0.81319,             0.00025792,             0.00025792,             0.00025792
                     22,                0.68398,                 2.9832,                 1.0205,                      1,                0.81144,                  0.995,                0.82066,                 0.6226,                 5.5698,                0.88668,             0.00021892,             0.00021892,             0.00021892
                     23,                0.70061,                 3.0433,                0.96146,                      1,                0.82266,                  0.995,                0.81931,                0.72969,                 5.4127,                 1.0309,             0.00017517,             0.00017517,             0.00017517
                     24,                0.48112,                 3.7319,                 0.8962,                0.95125,                    0.8,                0.96167,                0.77872,                0.77608,                 5.2238,                 1.1416,             0.00012666,             0.00012666,             0.00012666
                     25,                0.71898,                 4.6484,                0.90041,                      1,                0.77769,                0.96167,                0.77872,                0.78773,                 5.0595,                 1.1796,             7.3408e-05,             7.3408e-05,             7.3408e-05
